molecule,series,time_h,concentration,unit
fentanyl,osp_marketed_regimen_prediction,48.0,0.349386809870032,ng/mL
fentanyl,osp_marketed_regimen_prediction,49.0,0.351907714772727,ng/mL
fentanyl,osp_marketed_regimen_prediction,50.0,0.354326263946655,ng/mL
fentanyl,osp_marketed_regimen_prediction,51.0,0.356647004813806,ng/mL
fentanyl,osp_marketed_regimen_prediction,52.0,0.358874294964699,ng/mL
fentanyl,osp_marketed_regimen_prediction,53.0,0.361012308264791,ng/mL
fentanyl,osp_marketed_regimen_prediction,54.0,0.363065040970584,ng/mL
fentanyl,osp_marketed_regimen_prediction,55.0,0.365036317843589,ng/mL
fentanyl,osp_marketed_regimen_prediction,56.0,0.366929798217571,ng/mL
fentanyl,osp_marketed_regimen_prediction,57.0,0.368748981999969,ng/mL
fentanyl,osp_marketed_regimen_prediction,58.0,0.370497215587912,ng/mL
fentanyl,osp_marketed_regimen_prediction,59.0,0.372177697684686,ng/mL
fentanyl,osp_marketed_regimen_prediction,60.0,0.373793485001425,ng/mL
fentanyl,osp_marketed_regimen_prediction,61.0,0.375347497831445,ng/mL
fentanyl,osp_marketed_regimen_prediction,62.0,0.376842525488907,ng/mL
fentanyl,osp_marketed_regimen_prediction,63.0,0.378281231606059,ng/mL
fentanyl,osp_marketed_regimen_prediction,64.0,0.379666159281767,ng/mL
fentanyl,osp_marketed_regimen_prediction,65.0,0.380999736081108,ng/mL
fentanyl,osp_marketed_regimen_prediction,66.0,0.382284278877438,ng/mL
fentanyl,osp_marketed_regimen_prediction,67.0,0.383521998542001,ng/mL
fentanyl,osp_marketed_regimen_prediction,68.0,0.384715004476893,ng/mL
fentanyl,osp_marketed_regimen_prediction,69.0,0.385865308990297,ng/mL
fentanyl,osp_marketed_regimen_prediction,70.0,0.386974831519898,ng/mL
fentanyl,osp_marketed_regimen_prediction,71.0,0.388045402702925,ng/mL
fentanyl,osp_marketed_regimen_prediction,72.0,0.389078768292653,ng/mL
fentanyl,osp_marketed_regimen_prediction,73.0,0.382806461520583,ng/mL
fentanyl,osp_marketed_regimen_prediction,74.0,0.373367730199727,ng/mL
fentanyl,osp_marketed_regimen_prediction,75.0,0.362992849722163,ng/mL
fentanyl,osp_marketed_regimen_prediction,76.0,0.352062666517734,ng/mL
fentanyl,osp_marketed_regimen_prediction,77.0,0.340821360103299,ng/mL
fentanyl,osp_marketed_regimen_prediction,78.0,0.329446284149428,ng/mL
fentanyl,osp_marketed_regimen_prediction,79.0,0.318067957113101,ng/mL
fentanyl,osp_marketed_regimen_prediction,80.0,0.306782656721665,ng/mL
fentanyl,osp_marketed_regimen_prediction,81.0,0.295661275178597,ng/mL
fentanyl,osp_marketed_regimen_prediction,82.0,0.284755700566889,ng/mL
fentanyl,osp_marketed_regimen_prediction,83.0,0.274103485945263,ng/mL
fentanyl,osp_marketed_regimen_prediction,84.0,0.263731299975511,ng/mL
fentanyl,osp_marketed_regimen_prediction,85.0,0.253657493201657,ng/mL
fentanyl,osp_marketed_regimen_prediction,86.0,0.243894026233227,ng/mL
fentanyl,osp_marketed_regimen_prediction,87.0,0.234447929816024,ng/mL
fentanyl,osp_marketed_regimen_prediction,88.0,0.225322418713562,ng/mL
fentanyl,osp_marketed_regimen_prediction,89.0,0.216517747626174,ng/mL
fentanyl,osp_marketed_regimen_prediction,90.0,0.208031874071909,ng/mL
fentanyl,osp_marketed_regimen_prediction,91.0,0.199860976829362,ng/mL
fentanyl,osp_marketed_regimen_prediction,92.0,0.191999863312406,ng/mL
fentanyl,osp_marketed_regimen_prediction,93.0,0.184442290177107,ng/mL
fentanyl,osp_marketed_regimen_prediction,94.0,0.177181217388974,ng/mL
fentanyl,osp_marketed_regimen_prediction,95.0,0.170209011791561,ng/mL
fentanyl,osp_marketed_regimen_prediction,96.0,0.163517611144857,ng/mL
fentanyl,osp_marketed_regimen_prediction,97.0,0.157098656306048,ng/mL
fentanyl,osp_marketed_regimen_prediction,98.0,0.150943597802604,ng/mL
fentanyl,osp_marketed_regimen_prediction,99.0,0.145043782189619,ng/mL
fentanyl,osp_marketed_regimen_prediction,100.0,0.139390522335226,ng/mL
fentanyl,osp_marketed_regimen_prediction,101.0,0.133975154577221,ng/mL
fentanyl,osp_marketed_regimen_prediction,102.0,0.128789084996978,ng/mL
fentanyl,osp_marketed_regimen_prediction,103.0,0.123823826792192,ng/mL
fentanyl,osp_marketed_regimen_prediction,104.0,0.119071030371347,ng/mL
fentanyl,osp_marketed_regimen_prediction,105.0,0.114522507446499,ng/mL
fentanyl,osp_marketed_regimen_prediction,106.0,0.110170250083609,ng/mL
fentanyl,osp_marketed_regimen_prediction,107.0,0.106006445535413,ng/mL
fentanyl,osp_marketed_regimen_prediction,108.0,0.102023487521406,ng/mL
fentanyl,osp_marketed_regimen_prediction,109.0,0.0982139845580103,ng/mL
fentanyl,osp_marketed_regimen_prediction,110.0,0.0945707658087211,ng/mL
fentanyl,osp_marketed_regimen_prediction,111.0,0.0910868848430417,ng/mL
fentanyl,osp_marketed_regimen_prediction,112.0,0.0877556215976974,ng/mL
fentanyl,osp_marketed_regimen_prediction,113.0,0.0845704828630121,ng/mL
fentanyl,osp_marketed_regimen_prediction,114.0,0.0815252015238265,ng/mL
fentanyl,osp_marketed_regimen_prediction,115.0,0.0786137347521363,ng/mL
fentanyl,osp_marketed_regimen_prediction,116.0,0.0758302613177753,ng/mL
fentanyl,osp_marketed_regimen_prediction,117.0,0.0731691781972793,ng/mL
fentanyl,osp_marketed_regimen_prediction,118.0,0.0706250965695846,ng/mL
fentanyl,osp_marketed_regimen_prediction,119.0,0.0681928373314821,ng/mL
fentanyl,osp_marketed_regimen_prediction,120.0,0.0658674262337066,ng/mL
fentanyl,osp_marketed_regimen_prediction,121.0,0.0636440887011786,ng/mL
fentanyl,osp_marketed_regimen_prediction,122.0,0.0615182444263323,ng/mL
fentanyl,osp_marketed_regimen_prediction,123.0,0.0594855017855799,ng/mL
fentanyl,osp_marketed_regimen_prediction,124.0,0.0575416521375239,ng/mL
fentanyl,osp_marketed_regimen_prediction,125.0,0.0556826640432822,ng/mL
fentanyl,osp_marketed_regimen_prediction,126.0,0.0539046774611689,ng/mL
fentanyl,osp_marketed_regimen_prediction,127.0,0.0522039979285018,ng/mL
fentanyl,osp_marketed_regimen_prediction,128.0,0.0505770907758032,ng/mL
fentanyl,osp_marketed_regimen_prediction,129.0,0.0490205753929584,ng/mL
fentanyl,osp_marketed_regimen_prediction,130.0,0.0475312195679018,ng/mL
fentanyl,osp_marketed_regimen_prediction,131.0,0.0461059339124957,ng/mL
fentanyl,osp_marketed_regimen_prediction,132.0,0.0447417663914786,ng/mL
fentanyl,osp_marketed_regimen_prediction,133.0,0.0434358969673712,ng/mL
fentanyl,osp_marketed_regimen_prediction,134.0,0.0421856323705928,ng/mL
fentanyl,osp_marketed_regimen_prediction,135.0,0.04098840100075,ng/mL
fentanyl,osp_marketed_regimen_prediction,136.0,0.0398417479669978,ng/mL
fentanyl,osp_marketed_regimen_prediction,137.0,0.0387433302683122,ng/mL
fentanyl,osp_marketed_regimen_prediction,138.0,0.0376909121223688,ng/mL
fentanyl,osp_marketed_regimen_prediction,139.0,0.036682360438728,ng/mL
fentanyl,osp_marketed_regimen_prediction,140.0,0.0357156404407095,ng/mL
fentanyl,osp_marketed_regimen_prediction,141.0,0.0347888114375423,ng/mL
fentanyl,osp_marketed_regimen_prediction,142.0,0.0339000227411147,ng/mL
fentanyl,osp_marketed_regimen_prediction,143.0,0.0330475097294204,ng/mL
fentanyl,osp_marketed_regimen_prediction,144.0,0.0322295900570329,ng/mL
